certified_per_keyper_resistance_usd,total_stress_targets,covered_stress_targets,empirical_certificate_coverage,empirical_certificate_coverage_pct
1675,1.46317e+06,1.405237e+06,0.9604058311747781,96.04058311747781
1700,1.46317e+06,1.405929e+06,0.9608787769022055,96.08787769022055
1725,1.46317e+06,1.406439e+06,0.9612273351695292,96.12273351695292
1750,1.46317e+06,1.407152e+06,0.9617146332961993,96.17146332961994
1775,1.46317e+06,1.407712e+06,0.9620973639426724,96.20973639426724
1800,1.46317e+06,1.40828e+06,0.9624855621698094,96.24855621698094
1825,1.46317e+06,1.408937e+06,0.9629345872318322,96.29345872318322
1850,1.46317e+06,1.409506e+06,0.9633234689065522,96.33234689065522
1875,1.46317e+06,1.409915e+06,0.9636029989679942,96.36029989679942
1900,1.46317e+06,1.410477e+06,0.9639870965096332,96.39870965096333
1925,1.46317e+06,1.410849e+06,0.9642413390105046,96.42413390105045
1950,1.46317e+06,1.411236e+06,0.9645058332251208,96.45058332251207
1975,1.46317e+06,1.4116e+06,0.9647546081453283,96.47546081453282
2000,1.46317e+06,1.412555e+06,0.9654073005870815,96.54073005870815
2025,1.46317e+06,1.413334e+06,0.9659397062542289,96.59397062542288
2050,1.46317e+06,1.413786e+06,0.9662486245617392,96.62486245617393
2075,1.46317e+06,1.41426e+06,0.9665725787160754,96.65725787160754
2100,1.46317e+06,1.415604e+06,0.9674911322676107,96.74911322676107
2125,1.46317e+06,1.415978e+06,0.9677467416636482,96.7746741663648
2150,1.46317e+06,1.416334e+06,0.9679900490031917,96.79900490031918
2175,1.46317e+06,1.41674e+06,0.9682675287218847,96.82675287218846
2200,1.46317e+06,1.417131e+06,0.9685347567268329,96.85347567268329
2225,1.46317e+06,1.417668e+06,0.9689017680788972,96.89017680788972
2250,1.46317e+06,1.418188e+06,0.9692571608220507,96.92571608220507
2275,1.46317e+06,1.418654e+06,0.969575647395723,96.9575647395723
2300,1.46317e+06,1.418972e+06,0.9697929837271131,96.9792983727113
2325,1.46317e+06,1.419362e+06,0.9700595282844782,97.00595282844782
2350,1.46317e+06,1.41979e+06,0.970352043849997,97.03520438499969
2375,1.46317e+06,1.42007e+06,0.9705434091732335,97.05434091732334
2400,1.46317e+06,1.420384e+06,0.9707580117142915,97.07580117142916
2425,1.46317e+06,1.420753e+06,0.971010203872414,97.1010203872414
2450,1.46317e+06,1.421075e+06,0.971230273994136,97.1230273994136
2475,1.46317e+06,1.421358e+06,0.9714236896601215,97.14236896601216
2500,1.46317e+06,1.421729e+06,0.9716772487134099,97.167724871341
2525,1.46317e+06,1.422128e+06,0.971949944299022,97.1949944299022
2550,1.46317e+06,1.42255e+06,0.9722383591790428,97.22383591790428
2575,1.46317e+06,1.423047e+06,0.9725780326277876,97.25780326277876
