trial,order,absolute_interaction_mass,normalized_mass
30,3,5.780528627073993,0.24768254786395605
30,4,37.8951263069882,1.6237202582789185
30,5,39.98705181825149,1.713354524277454
30,6,10.315206774501998,0.44198322687754615
30,7,3.552713678800501e-15,1.5222572753555412e-16
31,1,10.86517890740787,0.46701259077594215
31,2,3.4637987813173865,0.14888274335608773
31,3,2.3809369550023796,0.10233863108059203
31,4,31.107716067212976,1.3370875157671416
31,5,24.32148227686253,1.0453981978966362
31,6,4.100579341148304,0.17625316601886
31,7,3.552713678800501e-15,1.5270452825130518e-16
32,1,16.187178227270685,0.5243119230995624
32,2,3.6640430657995964,0.11868044196316477
32,3,3.2130855490368617,0.10407367112698927
32,4,43.277662254329506,1.4017881316456458
32,5,47.465449770964995,1.5374329546995098
32,6,13.921142234690308,0.45091372655156714
32,7,4.263256414560601e-14,1.380893036452162e-15
33,1,12.035009350557258,0.48633614753167514
33,2,15.035698210643309,0.6075943383354813
33,3,8.74775050378602,0.35349762976150695
33,4,10.302854736682747,0.4163395752563125
33,5,4.278603389916167,0.17289886769979496
33,6,2.4868995751603507e-14,1.0049590519226663e-15
33,7,7.105427357601002e-15,2.8713115769219036e-16
34,1,3.6718065494994683,0.14093641267488521
34,2,36.06174351615926,1.3841722589285403
34,3,31.719450630872053,1.2175003022810746
34,4,22.177748093930905,0.8512573348919966
34,5,9.14548104762465,0.35103464021384057
34,6,1.8916032227001764,0.07260615961588623
34,7,1.0658141036401503e-14,4.090956708103744e-16
35,1,7.702717696611767,0.30105272326849036
35,2,11.468286054475275,0.4482260526619749
35,3,9.018930434044261,0.35249553145799817
35,4,43.04946539587796,1.6825436557778235
35,5,38.82465472025676,1.5174213172363207
35,6,9.693236761859183,0.378850094133345
35,7,2.1316282072803006e-14,8.331247516444055e-16
36,1,6.163184607156708,0.30870663280192995
36,2,19.439318213493326,0.9736924742906972
36,3,17.39302176668534,0.8711959037555376
36,4,16.307238650980125,0.8168103107597796
36,5,5.757496119978981,0.2883861759560134
36,6,3.907985046680551e-14,1.957463522024225e-15
36,7,3.552713678800501e-15,1.7795122927492956e-16
37,1,11.20856454961876,0.474523289240514
37,2,3.911712062387382,0.16560536955367675
37,3,7.577327092213373,0.32079203001696127
37,4,11.040849617358564,0.4674229472691092
37,5,3.709615360161818,0.15704944863622108
37,6,2.4868995751603507e-14,1.0528482583044634e-15
37,7,1.7763568394002505e-15,7.52034470217474e-17
38,1,8.999446896732135,0.4317823990685564
38,2,0.449594643226078,0.021570998294463937
38,3,18.537609921647682,0.889411735722624
38,4,41.48906382631441,1.990594279803961
38,5,44.25121529716837,2.123118911857642
38,6,13.956323427297551,0.6696072415076332
38,7,3.197442310920451e-14,1.534093514562392e-15
39,1,4.067724632526323,0.17090520863348055
39,2,11.678313726668552,0.49066365701946585
39,3,47.55876214484432,1.9981785644291883
39,4,78.51633924973746,3.2988593262468537
39,5,47.85596686970199,2.0106656032770243
39,6,10.848356856338764,0.45579306844857514
39,7,0.0,0.0
40,1,7.268673665366059,0.3484551482122492
40,2,2.4648189435484937,0.11816170182229466
40,3,2.1354678806928824,0.10237284147380435
40,4,48.89535506391609,2.3440092347066988
40,5,56.203040132057936,2.6943345623714903
40,6,17.61583976451484,0.8444910775504072
40,7,3.552713678800501e-15,1.7031461701201142e-16
41,1,8.392674903327586,0.552623970620607
41,2,1.515039509158516,0.09975927327607041
41,3,7.808896538462024,0.5141845074374802
41,4,8.225100780739444,0.5415898869625819
41,5,2.1818246873773823,0.1436644020916976
41,6,1.9539925233402755e-14,1.2866256816204644e-15
41,7,0.0,0.0
42,1,7.300632681860247,0.4359084957953873
42,2,19.814545705641883,1.1830931906595332
42,3,15.447624939706461,0.9223516980672082
42,4,6.033456279022301,0.36024752451532693
42,5,0.9529244009308684,0.05689751290303952
42,6,0.0,0.0
42,7,0.0,0.0
43,1,9.834290422269937,0.4294883997512188
43,2,0.13527869103139523,0.005907963466275463
43,3,6.101897196598152,0.2664853232805467
43,4,49.40575655161207,2.1576746677928975
43,5,54.941495300284416,2.399434416033007
43,6,18.70240353875124,0.8167813866031586
43,7,1.0101927987044519,0.04411768108589534
44,1,6.042008923692006,0.2894076283551549
44,2,3.4273869634318324,0.1641692266710637
44,3,17.331250559345506,0.8301537094957157
44,4,14.10365566237844,0.6755543707294867
44,5,15.994826112151523,0.7661399957420589
44,6,5.586356863979974,0.26758224153069765
44,7,5.329070518200751e-15,2.552584214105133e-16
45,1,12.149706769315442,0.3220348427555996
45,2,19.03021960575829,0.50440672311717
45,3,19.624279091693097,0.5201526054477332
45,4,60.741263977690345,1.609981521795526
45,5,77.42648388031583,2.0522327028079665
45,6,25.968111880862825,0.6882994779210346
45,7,0.0,0.0
46,1,13.258553014183715,0.755770603432182
46,2,4.741502697289803,0.27027748434331367
46,3,3.099472713718505,0.17667767822496708
46,4,0.6584055268736151,0.03753075782975942
46,5,1.0658141036401503e-14,6.075406323698584e-16
46,6,3.552713678800501e-15,2.0251354412328613e-16
46,7,0.0,0.0
47,1,10.15154553069872,0.565880263521411
47,2,4.826663890737597,0.26905399046482703
47,3,3.581620697738412,0.1996512213968716
47,4,4.564661725720881,0.25444913510221356
47,5,1.0658141036401503e-14,5.941195495886353e-16
47,6,3.552713678800501e-15,1.9803984986287843e-16
47,7,1.7763568394002505e-15,9.901992493143922e-17
48,1,10.52874716015042,0.484473071277781
48,2,1.6827547325265542,0.0774308035964569
48,3,10.721574204117541,0.49334587530614105
48,4,21.36675478613247,0.9831765505449688
