n,q,trial,action_budget,baseline,exact_value,greedy_value,greedy_gain_ratio
5,3,82,2,22.192232329492068,28.719216955018013,28.719216955018013,1.0
5,3,82,3,22.192232329492068,30.11162372136208,30.11162372136208,1.0
5,3,83,1,16.04895324129198,22.34132134129134,22.34132134129134,1.0
5,3,83,2,16.04895324129198,25.510659338125436,25.510659338125436,1.0
5,3,83,3,16.04895324129198,29.30314008280424,29.30314008280424,1.0
5,3,84,1,10.192872661758058,12.229969319530774,12.229969319530774,1.0
5,3,84,2,10.192872661758058,13.590679188969261,13.590679188969261,1.0
5,3,84,3,10.192872661758058,18.369754516074806,18.369754516074806,1.0
5,3,85,1,11.702859951252016,15.174818368801663,15.174818368801663,1.0
5,3,85,2,11.702859951252016,18.871180718579936,18.871180718579936,1.0
5,3,85,3,11.702859951252016,22.307558951418326,22.307558951418326,1.0
5,3,86,1,11.556480393347588,17.366144125527022,17.366144125527022,1.0
5,3,86,2,11.556480393347588,18.554974160034714,18.554974160034714,1.0
5,3,86,3,11.556480393347588,18.9171260154802,18.632552829718875,0.9613385563753204
5,3,87,1,6.475083058981756,9.266063048523588,9.266063048523588,1.0
5,3,87,2,6.475083058981756,14.812332123556423,14.812332123556423,1.0
5,3,87,3,6.475083058981756,20.050807387515032,20.050807387515032,1.0
5,3,88,1,5.410765701812623,9.303002893616908,9.303002893616908,1.0
5,3,88,2,5.410765701812623,11.193507654179314,11.193507654179314,1.0
5,3,88,3,5.410765701812623,12.450453096069765,12.450453096069765,1.0
5,3,89,1,8.778042896666193,12.45638526540596,12.45638526540596,1.0
5,3,89,2,8.778042896666193,16.087563041334676,16.087563041334676,1.0
5,3,89,3,8.778042896666193,19.775217403108968,19.308808632897485,0.9575883087116391
5,3,90,1,10.45403823643414,14.903877721367706,14.903877721367706,1.0
5,3,90,2,10.45403823643414,16.90990193442822,16.90990193442822,1.0
5,3,90,3,10.45403823643414,19.167673897333543,19.167673897333543,1.0
5,3,91,1,11.14188334778206,14.234647267087869,14.234647267087869,1.0
5,3,91,2,11.14188334778206,17.761509051696024,17.761509051696024,1.0
5,3,91,3,11.14188334778206,23.812080286512163,23.812080286512163,1.0
5,3,92,1,17.965564067894594,23.217104283104888,23.217104283104888,1.0
5,3,92,2,17.965564067894594,26.245129040050504,26.245129040050504,1.0
