trial,action_budget,baseline,exact_value,greedy_value,greedy_gain_ratio
62,2,10.838335015912833,21.443570795970384,21.443570795970384,1.0
62,3,10.838335015912833,25.584729861772818,25.584729861772818,1.0
63,1,15.267927547320138,19.8410146793875,19.8410146793875,1.0
63,2,15.267927547320138,24.172594289335372,24.172594289335372,1.0
63,3,15.267927547320138,26.37058724084928,26.37058724084928,1.0
64,1,15.878748488390762,22.292107355248536,22.292107355248536,1.0
64,2,15.878748488390762,27.61123178735552,27.61123178735552,1.0
64,3,15.878748488390762,30.341607571729824,30.341607571729824,1.0
65,1,15.81762991898075,21.538122394382462,21.538122394382462,1.0
65,2,15.81762991898075,25.765277775964428,25.765277775964428,1.0
65,3,15.81762991898075,27.9601084001801,27.9601084001801,1.0
66,1,24.906894376812932,28.60089884252642,28.60089884252642,1.0
66,2,24.906894376812932,32.465175570452395,32.465175570452395,1.0
66,3,24.906894376812932,35.31647923295533,35.31647923295533,1.0
67,1,12.941777130994677,17.383683897180592,17.383683897180592,1.0
67,2,12.941777130994677,20.508850340592524,20.508850340592524,1.0
67,3,12.941777130994677,21.979505004124047,21.979505004124047,1.0
68,1,14.741033770377326,20.3216748307206,20.3216748307206,1.0
68,2,14.741033770377326,25.13099436675089,25.13099436675089,1.0
68,3,14.741033770377326,29.700658153945298,29.700658153945298,1.0
69,1,22.719494881383646,26.394448604232856,26.394448604232856,1.0
69,2,22.719494881383646,30.676700172820915,30.676700172820915,1.0
69,3,22.719494881383646,33.88026211618099,33.88026211618099,1.0
70,1,10.060750047717619,14.498427463235295,14.498427463235295,1.0
70,2,10.060750047717619,18.006483702924985,18.006483702924985,1.0
70,3,10.060750047717619,22.08065451319143,22.08065451319143,1.0
71,1,7.19853744319288,10.50619533272685,10.50619533272685,1.0
71,2,7.19853744319288,13.765566878517868,13.765566878517868,1.0
71,3,7.19853744319288,17.225508150277175,17.225508150277175,1.0
72,1,7.880886306234484,9.892603880973708,9.892603880973708,1.0
72,2,7.880886306234484,13.495521444697399,13.495521444697399,1.0
72,3,7.880886306234484,17.699154854411333,17.699154854411333,1.0
73,1,17.4549813541324,22.526936334772753,22.526936334772753,1.0
73,2,17.4549813541324,27.890280305740042,27.890280305740042,1.0
73,3,17.4549813541324,29.05932558828901,29.05932558828901,1.0
74,1,16.041458275168957,21.816069158309382,21.816069158309382,1.0
74,2,16.041458275168957,26.647982518694747,26.647982518694747,1.0
74,3,16.041458275168957,30.84531994891484,30.84531994891484,1.0
75,1,9.237496430457824,10.656766254028554,10.656766254028554,1.0
75,2,9.237496430457824,12.588526094394307,12.588526094394307,1.0
75,3,9.237496430457824,14.577968219410904,14.577968219410904,1.0
76,1,12.23994810483949,15.863087237694135,15.863087237694135,1.0
76,2,12.23994810483949,17.10382543827807,17.10382543827807,1.0
76,3,12.23994810483949,17.959253128643326,17.959253128643326,1.0
77,1,19.35252562264455,24.626300665312762,24.626300665312762,1.0
77,2,19.35252562264455,28.42441449154768,28.42441449154768,1.0
77,3,19.35252562264455,33.20020882481043,33.20020882481043,1.0
78,1,18.722978757424436,21.646031481494795,21.646031481494795,1.0
78,2,18.722978757424436,23.743085852390408,23.743085852390408,1.0
78,3,18.722978757424436,25.510907014432544,25.510907014432544,1.0
79,1,11.308489733504008,14.46691294478555,14.46691294478555,1.0
79,2,11.308489733504008,18.23564865214255,18.23564865214255,1.0
79,3,11.308489733504008,23.58360435213808,23.58360435213808,1.0
80,1,10.436641066008871,14.545517663664572,14.545517663664572,1.0
80,2,10.436641066008871,18.31989369426405,18.31989369426405,1.0
80,3,10.436641066008871,22.806557902447196,22.806557902447196,1.0
81,1,14.314342998373098,20.315666276306946,20.315666276306946,1.0
81,2,14.314342998373098,23.444070828267474,23.444070828267474,1.0
81,3,14.314342998373098,26.196636088301396,26.196636088301396,1.0
82,1,18.50613888461956,24.6294669095754,24.6294669095754,1.0
82,2,18.50613888461956,29.507738546379862,29.507738546379862,1.0
82,3,18.50613888461956,31.71003203837133,31.71003203837133,1.0
83,1,12.57242507925972,16.22950318234492,16.22950318234492,1.0
83,2,12.57242507925972,18.803191987915543,18.803191987915543,1.0
83,3,12.57242507925972,20.920358880459045,20.920358880459045,1.0
84,1,14.972582078855666,20.046502378941902,20.046502378941902,1.0
84,2,14.972582078855666,23.31443601644119,23.31443601644119,1.0
84,3,14.972582078855666,26.204248706929533,26.204248706929533,1.0
85,1,18.25879328803051,21.322562950227415,21.322562950227415,1.0
85,2,18.25879328803051,24.041237258143482,24.041237258143482,1.0
85,3,18.25879328803051,25.041247295360574,25.041247295360574,1.0
86,1,14.38740805357594,17.391340813310755,17.391340813310755,1.0
86,2,14.38740805357594,21.05448059092241,21.05448059092241,1.0
86,3,14.38740805357594,25.43260477062227,25.43260477062227,1.0
87,1,14.306081509227166,17.381720052970582,17.381720052970582,1.0
87,2,14.306081509227166,22.161130810204384,22.161130810204384,1.0
87,3,14.306081509227166,26.360746178958195,26.360746178958195,1.0
88,1,9.543868096522273,16.49741727751666,16.49741727751666,1.0
88,2,9.543868096522273,23.819828654242258,23.819828654242258,1.0
88,3,9.543868096522273,25.97844551013501,25.97844551013501,1.0
89,1,12.043889473028134,15.245787591272405,15.245787591272405,1.0
89,2,12.043889473028134,18.315086436407796,18.315086436407796,1.0
89,3,12.043889473028134,21.17100930886821,21.17100930886821,1.0
90,1,22.629120416498445,28.755827847836112,28.755827847836112,1.0
90,2,22.629120416498445,31.777784106397313,31.777784106397313,1.0
90,3,22.629120416498445,34.8175474926293,34.8175474926293,1.0
91,1,15.645409189585472,19.99538186649599,19.99538186649599,1.0
91,2,15.645409189585472,24.01194440207862,24.01194440207862,1.0
91,3,15.645409189585472,28.87415700392601,28.87415700392601,1.0
92,1,18.216637637906018,23.418223873620676,23.418223873620676,1.0
92,2,18.216637637906018,27.127933111465346,27.127933111465346,1.0
92,3,18.216637637906018,30.156843128479746,30.156843128479746,1.0
93,1,8.379352085706579,12.953099853718555,12.953099853718555,1.0
93,2,8.379352085706579,18.860466012584325,18.860466012584325,1.0
93,3,8.379352085706579,24.585329078564666,24.585329078564666,1.0
94,1,23.74779268507266,30.77407102748965,30.77407102748965,1.0
94,2,23.74779268507266,33.48049263560776,33.48049263560776,1.0
94,3,23.74779268507266,35.594560379668884,35.594560379668884,1.0
95,1,17.174008992872853,23.308573494806584,23.308573494806584,1.0
95,2,17.174008992872853,29.103549213677233,29.103549213677233,1.0
95,3,17.174008992872853,31.875650824804275,31.875650824804275,1.0
96,1,17.68173691864085,22.74500501253864,22.74500501253864,1.0
96,2,17.68173691864085,25.565600272708664,25.565600272708664,1.0
96,3,17.68173691864085,27.973804651610223,27.973804651610223,1.0
97,1,12.797548716546821,16.124460424659063,16.124460424659063,1.0
97,2,12.797548716546821,18.510954793264077,18.510954793264077,1.0
97,3,12.797548716546821,21.77378558919786,21.77378558919786,1.0
98,1,22.50014084966726,25.55603802946312,25.55603802946312,1.0
98,2,22.50014084966726,26.3920113974348,26.3920113974348,1.0
98,3,22.50014084966726,27.145895853610277,27.145895853610277,1.0
99,1,13.370782044532605,18.42643263666335,18.42643263666335,1.0
99,2,13.370782044532605,23.317734262499513,23.317734262499513,1.0
99,3,13.370782044532605,26.69381051825077,26.69381051825077,1.0
