trial,seed,dimension,alternative_count,repetition,true_class,predicted_class,l1_distance,construction_epsilon,construction_residual_l1,analytic_separation_margin,ground_truth_witness_valid,tolerance,runtime_ms,coefficient_sum
88,20260725,3,4,28,separable,separable,0.4411276266785831,0.0,,0.22056381333929154,True,1e-08,0.3521000035107136,1.0
89,20260725,3,4,29,separable,separable,0.8656768916975395,0.0,,0.43283844584876974,True,1e-08,0.33999999868683517,1.0
90,20260725,3,4,30,separable,separable,1.0323199886044665,0.0,,0.5161599943022332,True,1e-08,0.34189999860245734,1.0
91,20260725,3,4,31,separable,separable,0.36022365499029396,0.0,,0.18011182749514698,True,1e-08,0.3353999927639961,1.0
92,20260725,3,4,32,separable,separable,1.4331766839908167,0.0,,0.7165883419954083,True,1e-08,0.28310000197961926,1.0
93,20260725,3,4,33,separable,separable,0.8472798939560073,0.0,,0.42363994697800367,True,1e-08,0.3453999961493537,1.0
94,20260725,3,4,34,separable,separable,1.131473279284719,0.0,,0.5657366396423595,True,1e-08,0.3353999927639961,1.0
95,20260725,3,4,35,separable,separable,0.9381894022036656,0.0,,0.4690947011018328,True,1e-08,0.28389999351929873,1.0
96,20260725,3,4,36,separable,separable,1.0156766184002084,0.0,,0.5078383092001042,True,1e-08,0.33039999834727496,1.0
97,20260725,3,4,37,separable,separable,1.2750868979667582,0.0,,0.6375434489833791,True,1e-08,0.32049999572336674,1.0
98,20260725,3,4,38,separable,separable,1.5761223838347458,0.0,,0.7880611919173729,True,1e-08,0.32050001027528197,1.0
99,20260725,3,4,39,separable,separable,1.2721116045338046,0.0,,0.6360558022669023,True,1e-08,0.3978000022470951,1.0
100,20260725,3,4,40,separable,separable,0.6792583493811986,0.0,,0.3396291746905993,True,1e-08,0.33290000283159316,1.0
101,20260725,3,4,41,separable,separable,1.0864629575062688,0.0,,0.5432314787531343,True,1e-08,0.34899999445769936,1.0
102,20260725,3,4,42,separable,separable,1.208417450839592,0.0,,0.6042087254197959,True,1e-08,0.34589999995660037,1.0
103,20260725,3,4,43,separable,separable,0.8869222106167224,0.0,,0.44346110530836114,True,1e-08,0.3243000101065263,1.0
104,20260725,3,4,44,separable,separable,1.2541459280257885,0.0,,0.6270729640128943,True,1e-08,0.3193000011378899,1.0
105,20260725,3,4,45,separable,separable,0.5763503084825806,0.0,,0.28817515424129025,True,1e-08,0.3352000057930127,1.0
106,20260725,3,4,46,separable,separable,0.8645693428371938,0.0,,0.43228467141859694,True,1e-08,0.3232000017305836,1.0
107,20260725,3,4,47,separable,separable,0.8186473393136786,0.0,,0.4093236696568393,True,1e-08,0.3203999949619174,1.0
